가게명,별점,주소,카테고리,위도,경도
우정당구클럽,0.0,광주 광산구 월곡로 13,당구장,35.1690925098503,126.810606435447
궁당구장,0.0,광주 광산구 하남대로261번길 10,당구장,35.1801765500971,126.82261746983
퀸 당구클럽,0.0,광주 북구 서암대로 28,당구장,35.1725107525798,126.88781988932
신창당구클럽,0.0,광주 서구 염화로65번길 4-8,당구장,35.1408655428204,126.873272321402
대박당구장,0.0,광주 서구 내방로306번길 5,당구장,35.1570663867934,126.874108106825
비바체당구장,0.0,광주 북구 연양로 67 2층,당구장,35.2067575977978,126.874644365776
화성당구클럽,0.0,광주 서구 염화로 104,당구장,35.1426339817117,126.875853155117
오케이당구클럽,0.0,광주 북구 연양로 59,당구장,35.2066913527421,126.873953919438
MBC당구클럽,0.0,광주 북구 면앙로121번길 77,당구장,35.1804504733123,126.926562222826
구슬방당구장,0.0,광주 서구 상무버들로 38,당구장,35.1646483188141,126.859335327044
에스당구클럽,0.0,광주 서구 풍암1로21번길 3-14 한샘빌딩,당구장,35.1260764460787,126.878479110897
수마일당구장,0.0,광주 북구 하서로423번길 20,당구장,35.2131509845431,126.873614229988
까치당구클럽,0.0,광주 북구 안산로 37,당구장,35.1906102308537,126.901810231831
큐당구장,0.0,광주 동구 무등로 484,당구장,35.1548750320798,126.932878409103
시카고당구장,0.0,광주 서구 화정로309번길 1,당구장,35.1503903944002,126.889365825529
우리동네당구장,0.0,광주 동구 의재로 20,당구장,35.1328027399803,126.92983049064
빅박스당구클럽,0.0,광주 북구 일곡마을로 39,당구장,35.2052646420939,126.896959170693
부영당구클럽,0.0,광주 동구 서석로85번길 8-14,당구장,35.1501783222397,126.920802077329
구슬방당구장,0.0,광주 광산구 도산로9번길 22,당구장,35.1285849814422,126.790778782757
NH당구클럽,0.0,광주 광산구 풍영로 83,당구장,35.1794659348203,126.810889110833
